Company_name;Link 1;Link 2;Link 3;Link 4;Link 5
SMC ITALIA SPA;https://www.smc.eu/it-it;https://www.smc.eu/it-it/distributori;https://it.linkedin.com/company/smc-italia-s-p-a-;https://www.smcworld.com/corporate/network/italy.html;https://www.facebook.com/SmcItaliaSpa/
MULTITEL PAGLIERO S.P.A.;https://multitelgroup.com;https://multitelgroup.com/en/;https://multitelgroup.com/azienda/;https://multitelgroup.com/?sfid=2033;https://multitelgroup.com/azienda/storia/
NEXT HARDWARE & SOFTWARE S.P.A.;https://www.nexths.it;https://www.ufficiocamerale.it/3834/next-hardware-software-spa;https://www.linkedin.com/company/nexths;https://craward.com/aziende/next-hardware-software-spa/;https://it-it.facebook.com/nexths/
EUROCHEM AGRO S.P.A.;https://www.eurochemagro.it;https://www.eurochemgroup.com;https://studiopadovan.com/blog/2022/sanzioni-lautorita-italiana-sottopone-a-congelamento-i-beni-di-eurochem-group-ag/;https://www.ilgiorno.it/monza-brianza/cronaca/eurochem-agro-spa-sanzioni-lavoratori-senza-stipendio-82a0c673;https://it.linkedin.com/company/eurochem-agro-s.p.a.
TRILLIUM PUMPS ITALY S.P.A. *;https://www.trilliumflow.com/brands/gabbioneta-pumps/;https://www.animp.it/associati/elenco-soci/scheda-socio/TRILLIUM-FLOW-TECHNOLOGIES-GABBIONETA/;https://www.trilliumflow.com/about/;https://www.trilliumflow.com;https://www.cittadellaspezia.com/2022/04/13/termomeccanica-pompe-comprata-dal-gigante-trillium-crescere-assieme-nel-mondo-439568/
WORTHINGTON S.R.L. (1);https://www.worthington.it;https://www.flowserve.com/en/products/brands/worthington/;https://www.animp.it/associati/elenco-soci/scheda-socio/FLOWSERVE-WORTHINGTON/;https://www.ufficiocamerale.it/7711/worthington-srl;https://www.worthington-creyssensac.com/it
FRIESLANDCAMPINA ITALY S.R.L.;https://www.frieslandcampina.com/countries/italy/;https://www.campinaitalia.it;https://www.mybusiness.cibus.it/it/azienda/frieslandcampina-italy-srl-2/;https://www.frieslandcampina.com/about-us/who-we-are/;https://www.campinaitalia.it/categoria-prodotto/burro/?diretta
ECOLAB HOLDING ITALY S.R.L.;https://it-it.ecolab.com;https://it-it.ecolab.com/imprint;https://it-it.ecolab.com/about;https://it-it.ecolab.com/about/our-history;https://www.dnb.com/business-directory/company-profiles.ecolab_holding_italy_srl.506cdc3161cfe2dfb604716690e2d446.html
FINCONS S.P.A.;https://ita.finconsgroup.com/about/chi-siamo/territorio/fincons-spa.kl;https://www.finconsgroup.com;https://www.finconsgroup.com/about/who-we-are/countries/fincons-spa_italy.kl;https://ita.finconsgroup.com/contatti/;https://it.linkedin.com/company/fincons-group
OCV ITALIA S.R.L.;https://www.ufficiocamerale.it/8965/ocv-italia-srl;https://it.linkedin.com/company/ocv-italia-srl;https://www.assolombarda.it/cerca-imprese-prodotti/ocv-italia-srl;https://www.europages.it/OCV-ITALIA/SEAC004622121-001.html;https://aziende.publimediagroup.it/cliente/associazioni/ocv-italia-srl-innovazione-costante-con-incrementi-significativi-in-quantita-e-qualita-dei-prodotti/
TAGLIABUE GOMME GROSS S.R.L.;https://www.tagliabuetyres.com;https://tagliabuegomme.eu;https://www.pneusnews.it/2023/12/14/tagliabue-gomme-acquisita-da-global-automotive-investments-holding/;https://www.tyreshow.it/chi-siamo;https://tagliabuegomme.eu/vendita-pneumatici/
ROTTAPHARM S.P.A.;https://rottapharmbiotech.com;https://it.wikipedia.org/wiki/Rottapharm_Madaus;https://www.mbnews.it/2019/12/monza-rottapharm-addio-al-suo-fondatore-luigi-rovati/;https://www.ilsole24ore.com/art/la-parabola-rottapharm-biotech-spinoff-ricerca-64-esuberi-AD944BS;https://www.pharmaceutical-technology.com/news/newsmeda-agrees-to-acquire-rottapharm-for-23bn-4332400/
BIANALISI S.P.A. *;https://bianalisi.it;https://bianalisi.it/chi-siamo/;https://novolabs.it;https://it.linkedin.com/company/bianalisi-group;https://bianalisigenetica.it/chi-siamo/
GRUPPO VRV S.R.L. (2);https://it.chartindustries.com/Businesses-Brands/VRV;https://www.animp.it/associati/elenco-soci/scheda-socio/VRV-SRL/;https://www.elite-network.com/it/news/vrv-group-fifty-years-of-expansion-and-innovation;https://www.anima.it/aziende/vrv-s-r-l-unipersonale.kl;https://www.chartindustries.com/Businesses-Brands/VRV
